match_id,date,time,country,competition,home_team,away_team,tip,coef_1,coef_x,coef_2,coef_ht1,coef_htx,coef_ht2,coef_o15,coef_o25,coef_o35,coef_bts,coef_ots,vote_1,vote_x,vote_2,likes,dislikes,home_official_name,home_founded,home_country,home_website,home_world_rank,away_official_name,away_founded,away_country,away_website,away_world_rank,comparison_url
1729091,2026-09-17,21:00,International,EUROPA LEAGUE,Real Sociedad,Bournemouth,X2,31,34,35,32,39,29,78,60,35,62,38,6,0,2,3,1,"Real Sociedad de Fútbol, S.A.D.",7 September 1909,Spain,http://www.realsociedad.com,93,AFC Bournemouth,1899,England,http://www.afcb.premiumtv.co.uk,32,https://www.statarea.com/compare/teams/Real+Sociedad (Spain)/Bournemouth (England)
1729092,2026-09-17,21:00,International,EUROPA LEAGUE,Viktoria Plzen,Union St. Gilloise,X2,30,33,37,27,39,34,87,60,46,69,31,3,1,1,3,0,FC Viktoria Plzeň,1911,Czech Republic,http://www.fcviktoria.cz,95,Royale Union Saint-Gilloise,"November 1, 1897",Belgium,http://www.rusg.be,82,https://www.statarea.com/compare/teams/Viktoria+Plzen (Czech Republic)/Union+St.+Gilloise (Belgium)
1729087,2026-09-17,21:00,International,EUROPA LEAGUE,Celtic,Ferencvarosi TC,1,52,24,24,36,39,25,85,68,39,62,38,1,1,4,9,2,The Celtic Football Club,1888,Scotland,http://www.celticfc.net,50,Ferencvárosi Torna Club,3 May 1899,Hungary,http://www.fradi.hu,150,https://www.statarea.com/compare/teams/Celtic (Scotland)/Ferencvarosi+TC (Hungary)
1729088,2026-09-17,21:00,International,EUROPA LEAGUE,Crystal Palace,Lech Poznan,1,68,17,15,57,26,17,89,75,48,63,37,7,0,2,2,2,Crystal Palace Football Club,1905,England,http://www.cpfc.co.uk,24,KKS Lech Poznań,19 March 1922,Poland,http://www.lechpoznan.pl,315,https://www.statarea.com/compare/teams/Crystal+Palace (England)/Lech+Poznan (Poland)
1729086,2026-09-17,21:00,International,EUROPA LEAGUE,Besiktas,Marseille,12,45,19,36,27,34,39,75,55,28,43,57,5,1,1,2,2,Beşiktaş Jimnastik Kulübü,1 March 1903,Turkey,http://www.bjk.com.tr,212,Olympique de Marseille,1899,France,http://www.om.net,80,https://www.statarea.com/compare/teams/Besiktas (Turkey)/Marseille (France)
1729084,2026-09-17,18:45,International,EUROPA LEAGUE,Levski Sofia,Red Bull Salzburg,12,42,26,32,23,43,34,77,58,34,50,50,2,1,2,3,2,PFC Levski Sofia,"May 24, 1914",Bulgaria,http://www.levski.bg,182,FC Red Bull Salzburg,1933,Austria,http://www.redbulls.com,134,https://www.statarea.com/compare/teams/Levski+Sofia (Bulgaria)/Red+Bull+Salzburg (Austria)
1729085,2026-09-17,18:45,International,EUROPA LEAGUE,OFI,1899 Hoffenheim,2,21,16,63,15,25,60,93,73,44,44,56,1,0,7,6,0,Omilos Filathlon Irakleiou,1925,Greece,http://www.ofifc.gr,,"Turn- und Sportgemeinschaft, 1899 Hoffenheim e.V.",1 July 1899,Germany,http://www.achtzehn99.de,164,https://www.statarea.com/compare/teams/OFI (Greece)/1899+Hoffenheim (Germany)
1729090,2026-09-17,21:00,International,EUROPA LEAGUE,Lillestrom,Torreense,2,40,19,41,33,28,39,91,66,36,57,43,4,0,1,2,2,Lillestrøm Sportsklubb,2 April 1917,Norway,http://www.lsk.no,,Sport Clube União Torreense,1 May 1917,Portugal,http://www.torreense.pt,,https://www.statarea.com/compare/teams/Lillestrom (Norway)/Torreense (Portugal)
1729094,2026-09-17,19:00,Spain,LALIGA,Betis,Getafe,1,57,29,14,39,47,14,66,45,22,43,57,4,0,2,9,2,Real Betis Balompié S.A.D.,1907,Spain,http://www.realbetisbalompie.es,40,Getafe Club de S.A.D.,1983,Spain,http://www.getafecf.com,91,https://www.statarea.com/compare/teams/Betis (Spain)/Getafe (Spain)
1729095,2026-09-17,21:30,Spain,LALIGA,Malaga,Villarreal,X,34,37,29,22,57,21,89,60,40,65,35,1,3,1,6,1,"Málaga Club de Fútbol, S.A.D.",3 April 1904,Spain,http://www.malagacf.com,488,"Villarreal Club de Fútbol, S.A.D.",10 March 1923,Spain,http://www.villarrealcf.es,25,https://www.statarea.com/compare/teams/Malaga (Spain)/Villarreal (Spain)
