slip_id,date,slip_name,total_odds,legs_count,average_confidence,status,stake,payout,profit,winning_legs_count,lost_legs_count
2026-09-10-10odds,2026-09-10,Onítẹ́tẹ́ 10-Odds Multiplier Slip,7.03,8,79.0,PENDING,1.0,0.0,0.0,1,0
2026-09-10-5odds,2026-09-10,Onítẹ́tẹ́ 5-Odds Banker Slip,4.54,6,78.9,PENDING,1.0,0.0,0.0,0,0
2026-09-10-3odds,2026-09-10,Onítẹ́tẹ́ 3-Odds Banker Slip,2.7,4,80.0,PENDING,1.0,0.0,0.0,1,0
2026-09-10-1.5odds,2026-09-10,Onítẹ́tẹ́ 1.5-Odds Ultra Banker Slip,1.25,2,95.3,PENDING,1.0,0.0,0.0,0,0
2026-09-09-10odds,2026-09-09,Onítẹ́tẹ́ 10-Odds Multiplier Slip,6.38,8,77.9,LOST,1.0,0.0,-1.0,4,2
2026-09-09-5odds,2026-09-09,Onítẹ́tẹ́ 5-Odds Banker Slip,4.53,6,76.8,LOST,1.0,0.0,-1.0,3,1
2026-09-09-3odds,2026-09-09,Onítẹ́tẹ́ 3-Odds Banker Slip,2.06,4,80.8,WON,1.0,2.06,1.06,4,0
2026-09-09-1.5odds,2026-09-09,Onítẹ́tẹ́ 1.5-Odds Ultra Banker Slip,1.25,2,94.7,WON,1.0,1.25,0.25,2,0
2026-09-08-10odds,2026-09-08,Onítẹ́tẹ́ 10-Odds Multiplier Slip,8.56,8,77.3,LOST,1.0,0.0,-1.0,1,3
2026-09-08-5odds,2026-09-08,Onítẹ́tẹ́ 5-Odds Banker Slip,4.52,6,78.7,LOST,1.0,0.0,-1.0,0,3
2026-09-08-3odds,2026-09-08,Onítẹ́tẹ́ 3-Odds Banker Slip,2.1,4,81.3,PENDING,1.0,0.0,0.0,2,0
2026-09-08-1.5odds,2026-09-08,Onítẹ́tẹ́ 1.5-Odds Ultra Banker Slip,1.25,2,95.0,LOST,1.0,0.0,-1.0,0,1
2026-09-07-10odds,2026-09-07,Onítẹ́tẹ́ 10-Odds Multiplier Slip,6.4,8,79.7,LOST,1.0,0.0,-1.0,5,1
2026-09-07-5odds,2026-09-07,Onítẹ́tẹ́ 5-Odds Banker Slip,3.71,6,80.8,LOST,1.0,0.0,-1.0,2,1
2026-09-07-3odds,2026-09-07,Onítẹ́tẹ́ 3-Odds Banker Slip,2.04,4,85.4,LOST,1.0,0.0,-1.0,1,2
2026-09-07-1.5odds,2026-09-07,Onítẹ́tẹ́ 1.5-Odds Ultra Banker Slip,1.25,2,95.3,WON,1.0,1.25,0.25,2,0
2026-09-06-10odds,2026-09-06,Onítẹ́tẹ́ 10-Odds Multiplier Slip,6.42,8,79.8,LOST,1.0,0.0,-1.0,5,2
2026-09-06-5odds,2026-09-06,Onítẹ́tẹ́ 5-Odds Banker Slip,3.77,6,80.8,PENDING,1.0,0.0,0.0,4,0
2026-09-06-3odds,2026-09-06,Onítẹ́tẹ́ 3-Odds Banker Slip,2.07,4,86.2,WON,1.0,2.07,1.07,4,0
2026-09-06-1.5odds,2026-09-06,Onítẹ́tẹ́ 1.5-Odds Ultra Banker Slip,1.25,2,95.3,WON,1.0,1.25,0.25,2,0
2026-09-05-10odds,2026-09-05,Onítẹ́tẹ́ 10-Odds Multiplier Slip,6.38,8,78.7,LOST,1.0,0.0,-1.0,4,2
2026-09-05-5odds,2026-09-05,Onítẹ́tẹ́ 5-Odds Banker Slip,3.39,6,80.0,LOST,1.0,0.0,-1.0,2,1
2026-09-05-3odds,2026-09-05,Onítẹ́tẹ́ 3-Odds Banker Slip,2.2,4,83.9,PENDING,1.0,0.0,0.0,2,0
2026-09-05-1.5odds,2026-09-05,Onítẹ́tẹ́ 1.5-Odds Ultra Banker Slip,1.4,3,93.3,PENDING,1.0,0.0,0.0,1,0
2026-09-04-10odds,2026-09-04,Onítẹ́tẹ́ 10-Odds Multiplier Slip,8.64,7,73.2,PENDING,1.0,0.0,0.0,0,0
2026-09-04-5odds,2026-09-04,Onítẹ́tẹ́ 5-Odds Banker Slip,4.77,6,76.9,LOST,1.0,0.0,-1.0,0,1
